"#zikavirus"	"natures_enzymes"	715261746429239000	727281945391063000	"hi @MuttMaps did you know we are about to stop #ZikaVirus because #MosquitoSeason is coming soon. https://t.co/MVjCzMthUQ #Zika #Virus"	"Tue May 03 01:41:42 CEST 2016"	"MuttMaps"	2291239339	727281586815775000	"@natures_enzymes Hi Natures Enzymes, thanks for the follow!  Did you know you can join our pack for FREE at https://t.co/2dkQgrMONS ?!"
"#zikavirus"	"RealPoxdoc"	2471591280	727271818961256000	"@LionelYEG If you do, let me know. We're finalizing animal models @IITRI_Chicago. #zika #ZikaVirus @profvrr @Zika_News"	"Tue May 03 01:01:28 CEST 2016"	"LionelYEG"	2858152724	727245491872784000	"First time plaquing #ZikaVirus, wish me luck @profvrr . Hope we find an antiviral! https://t.co/bHMxAHxJHs"
"#zikavirus"	"desifoxx"	38036708	727233305653948000	".@CNBC Yeah ladies...no hurry to cure #ZikaVirus but $1.9BIL in taxpayers money anyway. @TheDemocrats rather women get abortions instead!"	"Mon May 02 22:28:26 CEST 2016"	"CNBC"	20402945	727231440824504000	"Zika vaccine 'going to take time': CDC official https://t.co/j21qc3o1qY"
"#zikavirus"	"CareFreeEnzymes"	496094537	727224834955071000	"@lawnapp360 your welcome! Anybody you know have ponds or water features? they need #MosquitoWater because it stops #Mosquitoes #ZikaVirus"	"Mon May 02 21:54:46 CEST 2016"	"lawnapp360"	3256895281	727218691092292000	"Thanks for the follow @CareFreeEnzymes"
"#zikavirus"	"Erst_Officer"	2418430788	727169419760288000	"@GeneticLiteracy @JonEntine @garyruskin In #MotherRuskin, microcephaly is beauty symbol. #ZikaVirus"	"Mon May 02 18:14:34 CEST 2016"	"GeneticLiteracy"	469509187	727165951720980000	"Sticking with #transparency, science, #GLP's @JonEntine responds to @garyruskin attacks, https://t.co/led8KqWyZq https://t.co/WMIG2mrbxQ"
"#zikavirus"	"StupidBoomers"	187059363	727151759462797000	"@thehill Rampant Islamic Terror, #ZikaVirus & $20,000,000,000,000 TRILLION in debt & this is what our WORTHLESS Govt focuses on? We R DOOMED"	"Mon May 02 17:04:23 CEST 2016"	"thehill"	1917731	727149920029909000	"Case on cheerleader uniforms reaches Supreme Court: https://t.co/MDEpPdn1HX https://t.co/lZdSQulyHe"
"#zikavirus"	"FReSH_MeNeHUNe"	213723378	727072532369535000	"@BBCWorld i just hope this poster child for #ZikaVirus is getting paid for all the media attention she is getting.. #sadbuttrue"	"Mon May 02 11:49:34 CEST 2016"	"BBCWorld"	742143	727045905862545000	"#Zika virus may be even more dangerous than previously thought, Brazilian scientists say   https://t.co/Mpmz9AeBPe https://t.co/SKaB4D7urA"
"#zikavirus"	"SheikhFareed00"	726671791586845000	727003043263181000	"@sunbrk I don't trust doctors. I trust scriptures. #ZikaVirus #FakeTabloidFacts"	"Mon May 02 07:13:27 CEST 2016"	"sunbrk"	220906523	726993953472442000	"Kurin heekuri varah vure Zika virus ge nurakkaa bodu kamah doctorun vidhaalhuvejje  https://t.co/v0SY98kyYG https://t.co/Jz07xw3MMx"
"#zikavirus"	"astronglady"	1053271752	726820815891624000	"@aspiritcan @FlygirlDx @Oxitec <--Do you have more information on Zika linked microcephaly in French Polynesia? #ZikaVirus #Oxitec"	"Sun May 01 19:09:20 CEST 2016"	"aspiritcan"	2192855449	726797174336451000	"@astronglady A Danish study saying otherwise to giving antibiotics while pregnant. https://t.co/Z9ieNl0ZnA @FlygirlDx"
"#zikavirus"	"aspiritcan"	2192855449	726797174336451000	"@astronglady A Danish study saying otherwise to giving antibiotics while pregnant. https://t.co/Z9ieNl0ZnA @FlygirlDx"	"Sun May 01 17:35:24 CEST 2016"	"astronglady"	1053271752	726778438225396000	"@aspiritcan @FlygirlDx A pregnant woman with bacterial pneumonia needs antibiotics regardless of risk to fetus."
