tweet_id	text	created_at	retweet_count	user_id	screen_name	#followers	#followings	#statuses	keywords	hashtags	urls
583733754667073536	Dave owns Mili on Labour hypocrisy - Doncaster Labour council use zero hours contracts for heaven's sake​. #JustNotUpToIt #leadersdebate	2015-04-02 20:52:27	220	3131144855	Boris Johnson	253222	45	418	[]	['JustNotUpToIt', 'leadersdebate']	[]
583733205217505281	Miliband has bored on about zero hours contracts all night - he would destroy jobs. #JustNotUpToIt #leadersdebate	2015-04-02 20:50:16	145	3131144855	Boris Johnson	253222	45	418	[]	['JustNotUpToIt', 'leadersdebate']	[]
583731962801684480	Tories have built record numbers of affordable homes in London. #leadersdebate	2015-04-02 20:45:19	67	3131144855	Boris Johnson	253222	45	418	[]	['leadersdebate']	[]
583731501273067520	Miliband policy a disaster for higher education - and rejected by sensible labour MPs​. #JustNotUpToIt #leadersdebate	2015-04-02 20:43:29	54	3131144855	Boris Johnson	253222	45	418	[]	['JustNotUpToIt', 'leadersdebate']	[]
583731299774521344	Cameron is completely in control - imagine the others negotiating with the leaders of Europe. #leadersdebate	2015-04-02 20:42:41	219	3131144855	Boris Johnson	253222	45	418	[]	['leadersdebate']	[]
583730826921271296	Well done Clegger for asking for an apology from Mili - not that we'll get one. #saysorryed #leadersdebate	2015-04-02 20:40:48	271	3131144855	Boris Johnson	253222	45	418	[]	['saysorryed', 'leadersdebate']	[]
583730675532111873	Miliband lecturing people on debt? Really? #JustNotUpToIt #leadersdebate	2015-04-02 20:40:12	170	3131144855	Boris Johnson	253222	45	418	['people']	['JustNotUpToIt', 'leadersdebate']	[]
583728911890124801	More #militripe about homes - Tories have built more council homes in 5 years than Labour in 13. #leadersdebate	2015-04-02 20:33:12	210	3131144855	Boris Johnson	253222	45	418	[]	['militripe', 'leadersdebate']	[]
583728220446584832	From Labour, with love. #nomoneyleft #leadersdebate http://t.co/nig3xwW2mG	2015-04-02 20:30:27	616	3131144855	Boris Johnson	253222	45	418	[]	['nomoneyleft', 'leadersdebate']	[]
583727156435492864	Greens want an EU Referendum!! Natalie much more dynamic than Mr #JustNotUpToIt Ed.	2015-04-02 20:26:13	76	3131144855	Boris Johnson	253222	45	418	[]	['JustNotUpToIt']	[]
583726014167130113	Farage says there is nothing we can do - well we certainly can't if Labour get in​. #voteukipgetmiliband #leadersdebate	2015-04-02 20:21:41	145	3131144855	Boris Johnson	253222	45	418	[]	['voteukipgetmiliband', 'leadersdebate']	[]
583724545116393472	Backdoor Nige would let Miliband migrate into Downing Street. #voteukipgetmiliband #leadersdebate	2015-04-02 20:15:51	149	3131144855	Boris Johnson	253222	45	418	[]	['voteukipgetmiliband', 'leadersdebate']	[]
