user_screen_name	friend_id	friend_screen_name	friends_#followers	friends_#followings	friends_#statuses
michaelgove	285825909	ffgqc	2798	738	5233
michaelgove	107376048	StGilesTrust	7975	968	2283
michaelgove	83212338	garyslapper	14805	146	18465
michaelgove	157299529	thebarcouncil	29859	824	6526
michaelgove	40212366	dansabbagh	23076	1214	16138
michaelgove	119322585	PeatWorrier	13716	3768	71058
michaelgove	198926513	conorgearty	6817	542	2792
michaelgove	19533817	TomChivers	25058	995	79744
michaelgove	266639627	legalhackette	10150	710	6942
michaelgove	26640292	jennirsl	11076	1508	8207
michaelgove	300844354	giles_fraser	32614	1388	10763
michaelgove	18526653	robertshrimsley	13282	573	6601
michaelgove	21202851	IanDunt	27295	2411	68142
michaelgove	104574581	msmirandasawyer	58320	1838	15100
michaelgove	25275453	jimwaterson	51519	2068	39963
michaelgove	20703607	PatrickStrud	20435	4757	50457
michaelgove	237240870	Fhamiltontimes	7038	1667	6212
michaelgove	19530624	mrchrisaddison	343958	908	53570
michaelgove	20668369	georgeeaton	47249	3337	34449
michaelgove	524545961	NickCohen4	58328	1537	41892
michaelgove	40659175	soniapurnell	2123	445	6728
michaelgove	351525375	CrimLawJustice	2186	1923	12468
michaelgove	71543212	Martha_Gill	7461	2723	6297
michaelgove	48515966	lucymanning	48323	1178	8405
michaelgove	130557513	mehdirhasan	276138	1677	96318
michaelgove	23814899	FrancisWheen	7474	1745	922
michaelgove	549454246	ConHistGrp	4094	1229	5004
michaelgove	278067909	LabourHistory	10819	986	12241
michaelgove	59471660	janemerrick23	36319	6391	35310
michaelgove	45413510	iankatz1000	65377	857	20158
michaelgove	1294741	ruskin147	167634	4683	48118
michaelgove	85368735	fleetstreetfox	76131	1336	100334
michaelgove	331672974	theJeremyVine	577509	6564	34616
michaelgove	333615851	HadleyFreeman	84314	1805	35903
michaelgove	19364382	tobyharnden	19404	6221	43999
michaelgove	15206103	peterwalker99	15032	555	25732
michaelgove	19602678	edwest	12577	1163	41163
michaelgove	19064312	Emmabarnett	45685	7482	24567
michaelgove	570676314	PhilipHensher	3977	1374	4173
michaelgove	209334931	francisbeckett	751	509	669
michaelgove	373468913	legalcheek	28893	795	13999
michaelgove	65045121	OwenJones84	498910	3867	110137
michaelgove	21655680	Sanchia7	3396	912	10748
michaelgove	32417875	TimesONeill	23474	879	25748
michaelgove	142230413	ianbirrell	25503	988	23443
michaelgove	20526449	hugorifkind	76585	1343	40532
michaelgove	138075752	instituteforgov	22694	771	8628
michaelgove	1137227065	HenryBrooke1	5128	81	1334
michaelgove	26230354	questingvole	9741	3127	15818
michaelgove	703028450	neilwallis1	5802	969	32118
michaelgove	89726963	skymartinbrunt	28474	1007	7570
michaelgove	209584092	DannyShawBBC	35269	338	10646
michaelgove	20132289	rosenbaum6	3660	1363	5411
michaelgove	309063652	rightswatchuk	2354	1666	3929
michaelgove	20970341	stephenpollard	12944	2829	33377
michaelgove	1087324843	DavidPintoD	426	839	1144
michaelgove	426689320	annemcelvoy	16759	1476	10405
michaelgove	986487872	CommonsPAC	6655	941	4931
michaelgove	6705042	bengoldacre	466651	2292	57974
michaelgove	89236161	david_conn	103897	831	27913
michaelgove	2147573814	legal_aid_watch	825	351	658
michaelgove	305073570	ChrisGiles_	28383	705	11844
michaelgove	20631422	maitlis	64144	685	13105
michaelgove	985310174	JoanneCecil	3464	2389	4747
michaelgove	1617893094	mccartney_jenny	1594	355	1964
michaelgove	46078438	MaajidNawaz	115766	425	53401
michaelgove	145374834	Adrian_Hilton	2136	886	10291
michaelgove	162473641	SebastianEPayne	17919	1762	21141
michaelgove	21177481	rowenamason	10942	2092	4952
michaelgove	976629355	CommonsJustice	6914	324	624
michaelgove	38162820	amolrajan	38388	1539	32271
michaelgove	1060578475	lionelbarber	38384	405	4597
michaelgove	20766889	nickpickles	6867	2374	23998
michaelgove	78702900	Jesse_Norman	18753	1424	9096
michaelgove	66078636	hammersmithandy	19752	1710	17207
michaelgove	16513349	jessicaelgot	14203	2116	23500
michaelgove	46625755	ameliagentleman	14373	2233	2247
michaelgove	28978705	thehistoryguy	130001	707	17744
michaelgove	700803890	_peterriddell	4428	413	3236
michaelgove	386630251	SarahLudford	5586	3588	42434
michaelgove	18282606	RuthieGledhill	51469	39508	13080
michaelgove	2740871066	PrisonUK	5838	5125	50455
michaelgove	19000029	helenpidd	24470	2545	16283
michaelgove	15912890	Ayaan	111809	45	516
michaelgove	21910500	suttonnick	117741	1790	55658
michaelgove	18630297	TedJeory	5375	2967	9535
michaelgove	331658004	BBCDanielS	58717	4401	22301
michaelgove	214881773	DArcyTiP	5254	1237	4025
michaelgove	22021978	sunny_hundal	64751	1084	189228
michaelgove	150400398	StewartWood	13926	600	4003
michaelgove	21282561	RupertMyers	18975	2004	1621
michaelgove	340916071	SarahForshaw1	2395	1114	1217
michaelgove	28087763	PJPrest	3167	475	1723
michaelgove	44578328	Freedland	75324	1014	16788
michaelgove	3297800601	BarristerSecret	7327	995	5152
michaelgove	28178127	arthurbrooks	35585	357	7289
michaelgove	14476016	AdamBienkov	16538	3193	43180
michaelgove	2797521996	DavidDavisMP	23242	29	290
michaelgove	893041296	MichaelAutyQC	2141	530	1090
michaelgove	19533512	exitthelemming	31105	2310	32773
michaelgove	459390022	JuliaHB1	55817	226	52040
michaelgove	54530089	jamieamartin1	1211	511	8827
michaelgove	309824548	rafaelbehr	27525	1097	16764
michaelgove	13194	janinegibson	35017	1771	26815
michaelgove	57730041	HarrietSergeant	2700	703	11930
michaelgove	20504013	camillalong	59065	567	21274
michaelgove	55806659	finecellwork	3974	2747	3480
michaelgove	1463193979	LawDavF	13346	743	13536
michaelgove	17870719	AnthonyBarnett	4404	1190	7649
