user_screen_name	friend_id	friend_screen_name	friends_#followers	friends_#followings	friends_#statuses
David_Cameron	8161232	richardbranson	8641695	3843	13759
David_Cameron	386654472	GaryBarlow	4311325	3458	10112
David_Cameron	19230601	SkySports	4222049	510	142951
David_Cameron	265902729	BBCSport	6267630	255	230422
David_Cameron	15438913	MailOnline	1803707	2397	179437
David_Cameron	56169454	Dannythefink	324784	887	39977
David_Cameron	142309190	jamesosh	4588	349	2734
David_Cameron	72515134	benedictbrogan	45497	935	9168
David_Cameron	1870998606	OborneTweets	35893	315	2272
David_Cameron	1548391070	NickBolesMP	10671	433	723
David_Cameron	45542770	GaryGibbonBlog	32806	77	1558
David_Cameron	20598137	tnewtondunn	45414	1091	14469
David_Cameron	127503320	SpecCoffeeHouse	42287	345	17040
David_Cameron	498986721	JGForsyth	30119	1202	8181
David_Cameron	162044153	IsabelHardman	86224	1828	37228
David_Cameron	26985345	paulwaugh	101160	6158	60203
David_Cameron	27695248	nicholaswatt	31930	1590	8679
David_Cameron	72235760	achrisevans	2361316	212	13771
David_Cameron	1949607200	CharlesHMoore	7671	7	8
David_Cameron	36337670	karren_brady	211956	227	2709
David_Cameron	22473844	daily_politics	129264	4506	44757
David_Cameron	78433570	andrewrawnsley	335461	293	1288
David_Cameron	1879826137	LivenUpTheLeys	347	105	78
David_Cameron	157044469	BBCHughPym	55528	911	7190
David_Cameron	158038382	tombradby	58039	220	5123
David_Cameron	167345068	PrideOfBritain	20333	1411	4625
David_Cameron	14224719	Number10gov	4729961	771	11158
David_Cameron	82615359	thrivecharity	4692	1050	4191
David_Cameron	837557125	PerryBeechesII	600	125	156
David_Cameron	19424427	GMB	334862	2794	47519
David_Cameron	62123765	DPJHodges	74011	7161	81002
David_Cameron	403488296	JustinWelby	96201	532	1857
David_Cameron	16906514	PracticalAction	12980	4166	13953
David_Cameron	18949349	SophyRidgeSky	71064	1932	19438
David_Cameron	14157134	Peston	756296	947	15240
David_Cameron	8839632	NBCNightlyNews	605933	420	69604
David_Cameron	14173315	NBCNews	3862201	2928	94033
David_Cameron	21866939	itvnews	1514355	1394	151444
David_Cameron	612473	BBCNews	7256997	87	309629
David_Cameron	20937750	JeansforGenes	17047	8777	17564
David_Cameron	20674741	savechildrenuk	156910	1639	27799
David_Cameron	20565284	elliegoulding	6427325	554	17858
David_Cameron	362708884	Manutuilagi	104485	559	1106
David_Cameron	95721440	chrisshipitv	34145	1314	29807
David_Cameron	206156189	lionsofficial	322859	631	11296
David_Cameron	628796113	WitneyCF	1563	351	3997
David_Cameron	873819098	HenrySmithMP	6685	120	11839
David_Cameron	7401202	stephenharper	1077937	258	3727
David_Cameron	29075172	tinastowell	3667	864	4247
